id,assess,drive,funseek,responsiv,bis,bas,basbis1,basbis2,basbis3,basbis4,basbis5,basbis6,basbis7,basbis8,basbis9,basbis10,basbis11,basbis12,basbis13,basbis14,basbis15,basbis16,basbis17,basbis18,basbis19,basbis20,basbis21,basbis22,basbis23,basbis24
205,1,11,9,17,23,37,4,4,3,4,3,3,3,2,3,2,2,3,4,4,2,3,3,3,3,2,2,3,3,4
206,1,10,10,18,22,38,3,2,3,4,3,4,4,3,3,2,4,2,4,4,2,3,3,3,4,3,2,2,3,4
207,1,9,13,17,17,39,3,2,2,4,4,4,4,3,2,3,3,3,3,3,3,2,2,2,3,3,2,1,4,3
208,1,9,12,15,18,36,4,3,3,4,4,3,3,2,2,2,2,2,2,2,3,2,3,3,4,3,2,2,3,3
209,1,9,9,14,23,32,4,3,3,3,3,3,3,3,2,2,2,2,3,2,2,3,3,3,4,2,2,4,3,3
210,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,1,11,11,20,28,42,4,4,2,4,3,3,4,4,3,2,3,3,4,4,3,4,4,4,4,3,3,4,4,4
212,1,14,15,19,21,48,4,4,3,4,4,4,4,2,3,3,2,4,4,4,4,3,3,3,4,4,4,2,4,2
213,1,9,14,18,25,41,2,4,2,4,4,3,4,3,2,3,2,2,4,3,3,3,4,3,4,4,3,4,4,3
214,1,10,10,15,25,35,3,4,2,4,3,3,3,4,3,2,2,2,3,3,2,3,2,2,4,3,3,3,3,4
215,1,13,16,20,20,49,3,4,4,4,4,4,4,2,3,4,1,3,2,4,4,4,4,4,4,4,3,1,4,3
216,1,15,9,18,17,42,4,2,4,4,3,4,4,2,4,1,1,4,3,4,2,1,1,3,4,3,3,2,3,3
217,1,15,12,17,19,44,2,2,4,4,4,2,3,2,4,3,2,4,3,3,2,3,4,4,3,3,3,3,3,3
218,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,1,11,12,16,23,39,4,4,3,3,4,2,3,3,3,2,3,3,4,3,2,3,4,4,4,4,2,2,3,3
220,1,14,13,17,22,44,2,3,4,3,3,2,4,3,4,3,2,3,3,3,4,4,4,3,3,3,3,3,4,3
221,1,11,12,18,26,41,3,4,3,4,4,3,4,4,3,3,2,3,4,3,2,3,3,3,4,3,2,3,4,4
222,1,11,13,18,19,42,2,3,3,4,3,2,4,3,3,4,2,3,3,4,3,1,3,3,3,3,2,3,3,3
223,1,9,13,19,25,41,4,4,2,4,4,2,4,3,3,4,3,2,3,3,3,4,4,4,4,2,2,3,4,4
224,1,14,15,19,21,48,2,2,3,4,4,4,4,3,3,3,2,4,2,4,4,3,3,3,4,4,4,3,4,4
225,1,13,13,18,10,44,4,1,4,4,4,3,4,1,3,4,2,3,3,4,2,1,4,3,1,3,3,1,3,2
226,1,16,16,20,19,52,4,3,4,4,4,3,4,2,4,4,2,4,2,4,4,3,4,4,3,4,4,2,4,4
227,1,12,13,19,21,44,4,4,4,4,4,3,4,2,3,3,1,3,2,4,3,2,4,3,4,3,2,4,4,3
228,1,13,15,18,25,46,2,3,4,4,4,3,4,4,3,3,2,3,4,4,4,4,4,3,4,4,3,2,3,4
229,1,9,12,19,23,40,3,3,2,4,4,3,4,4,2,2,1,3,4,3,2,3,3,4,3,4,2,3,4,3
230,1,16,13,20,16,49,4,4,4,4,4,2,4,1,4,1,1,4,1,4,4,2,4,4,4,4,4,1,4,3
231,1,9,11,14,20,34,3,3,2,2,3,2,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3
233,1,8,13,17,18,38,3,2,2,4,4,3,3,2,2,3,2,2,3,4,3,3,4,3,2,3,2,3,3,3
234,1,10,13,20,23,43,3,3,3,4,4,3,4,4,3,3,3,2,4,4,2,2,4,4,4,4,2,2,4,4
235,1,15,15,16,11,46,1,3,4,4,4,3,3,1,3,4,1,4,1,2,4,1,4,3,3,3,4,1,4,1
236,1,14,9,17,12,40,3,3,4,4,4,4,4,1,4,2,2,4,1,4,1,2,4,3,3,2,2,1,2,1
237,1,9,11,19,21,39,4,3,2,4,3,3,4,2,3,2,1,2,3,3,3,2,3,4,4,3,2,3,4,4
238,1,14,10,19,24,43,4,4,4,4,2,1,4,4,4,3,1,4,3,4,3,3,3,4,4,2,2,2,3,4
239,1,11,11,17,19,39,3,2,2,3,4,3,4,2,4,2,3,3,4,4,2,2,2,3,4,3,2,4,3,1
240,1,7,11,16,24,34,3,4,2,4,4,4,4,3,2,3,3,2,4,3,2,2,1,2,4,2,1,3,3,4
241,1,13,12,16,16,41,4,3,2,4,3,3,4,2,4,3,2,4,2,3,3,2,3,2,3,3,3,2,3,2
242,1,14,13,17,22,44,3,3,4,4,4,3,4,3,4,3,1,3,3,4,3,3,4,3,4,3,3,3,2,3
243,1,9,9,16,23,34,2,4,3,3,2,3,4,3,2,3,3,2,3,3,2,3,4,3,4,2,2,2,3,4
244,1,10,13,18,20,41,3,3,3,4,4,3,4,3,3,3,4,2,4,4,3,3,4,3,3,3,2,2,3,2
245,1,14,14,20,27,48,3,4,4,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,4,4,3,3,4,4
246,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,1,11,8,19,26,38,4,4,2,3,2,4,4,4,3,2,1,4,4,4,2,4,4,4,4,2,2,2,4,4
249,1,13,15,18,21,46,4,2,4,4,4,3,3,3,3,4,2,3,3,4,3,3,3,4,4,4,3,3,3,3
250,1,8,11,14,18,33,2,3,1,3,2,3,3,1,2,3,4,2,1,3,2,2,3,2,4,4,3,3,3,4
251,1,15,14,20,28,49,3,4,4,4,4,4,4,4,3,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4
252,1,12,14,17,21,43,4,2,3,4,4,3,4,3,3,4,2,3,3,3,2,3,3,3,3,4,3,3,3,4
253,1,6,8,16,23,30,3,3,1,4,3,3,4,3,2,2,2,2,3,2,1,3,2,3,4,2,1,4,3,3
254,1,12,14,19,21,45,4,2,1,4,4,3,4,3,4,3,3,3,3,4,3,3,2,3,4,4,4,3,4,3
255,1,9,14,17,24,40,3,4,4,4,4,3,4,2,1,3,1,1,4,2,3,3,3,3,4,4,3,3,4,4
256,1,12,15,19,22,46,3,4,3,3,4,3,4,2,3,3,3,2,4,4,4,3,3,4,3,4,4,2,4,4
257,1,12,14,19,26,45,4,4,3,4,3,4,4,4,3,4,2,3,3,3,3,4,4,4,4,4,3,3,4,4
